n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
33 | Pfahl, Eric D. | MASSACHUSETTS INSTITUTE OF TECHNOLOGY | 2002 | male | 5 | 8 | 2009 | 8 | 16 | 2009 | 0 | 0 | 0 | 0 | 1 | 4 | 1 | 1 | 3 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 5 | 1 | 3 | 6 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
34 | Renbarger, Thomas Kennith | NORTHWESTERN UNIVERSITY | 2002 | male | 1 | 1 | 2004 | 2 | 12 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0 | 4 | 0 | 0 | 0 |
35 | Kern, Brian | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2002 | male | 3 | 4 | 2016 | 4 | 13 | 2016 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 2 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 6 |
36 | Nam, Max Sang | THE UNIVERSITY OF CONNECTICUT | 2002 | male | 1 | 0 | 2002 | 1 | 0 | 2002 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
37 | Bercik, David John | MICHIGAN STATE UNIVERSITY | 2002 | male | 1 | 1 | 2005 | 2 | 5 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 |
38 | Stephens, Denise Catherine | NEW MEXICO STATE UNIVERSITY | 2002 | female | 3 | 4 | 2009 | 6 | 29 | 2017 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 0 | 1 | 2 | 1 | 3 | 1 | 3 | 4 | 3 | 3 | 0 | 2 | 1 | 1 | 1 | 1 | 2 |
39 | Scott, Michael Brian | UNIVERSITY OF CALIFORNIA, DAVIS | 2002 | male | 1 | 2 | 2014 | 1 | 13 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 3 | 2 | 1 | 3 | 2 | 0 |
40 | Tregillis, Ian Lee | UNIVERSITY OF MINNESOTA | 2002 | male | 4 | 2 | 2004 | 6 | 6 | 2008 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 2 | 3 | 0 | 3 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
41 | Figueredo, Patricio Hernan | ARIZONA STATE UNIVERSITY | 2002 | male | 3 | 2 | 2004 | 6 | 3 | 2008 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 4 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
42 | Perera, Thushara Asanga | CASE WESTERN RESERVE UNIVERSITY | 2002 | male | 2 | 3 | 2013 | 11 | 39 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 0 | 7 | 2 | 2 | 1 | 3 | 3 | 5 | 4 | 5 | 8 | 3 | 1 | 1 | 0 | 1 |
43 | Reinard, Alysha Ann | UNIVERSITY OF MICHIGAN | 2002 | female | 2 | 9 | 2012 | 4 | 17 | 2017 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 2 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 2 | 1 | 2 | 1 | 2 | 3 | 1 | 0 | 0 |
44 | Tran, Kim-Vy Huu | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 2002 | female | 3 | 13 | 2017 | 3 | 58 | 2017 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 2 | 2 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 1 | 0 | 1 | 1 | 2 | 2 | 6 | 2 | 3 | 3 | 1 | 2 | 3 | 3 | 2 | 6 | 6 | 11 |
45 | Williams, Benjamin Franklin | UNIVERSITY OF WASHINGTON | 2002 | male | 4 | 34 | 2015 | 9 | 143 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 3 | 3 | 6 | 2 | 3 | 1 | 2 | 2 | 2 | 1 | 2 | 4 | 3 | 0 |  1 | 0 | 1 | 1 | 3 | 3 | 4 | 5 | 7 | 5 | 5 | 5 | 11 | 12 | 15 | 14 | 12 | 12 | 18 | 8 |
46 | Gibbons, Rachel Annette | UNIVERSITY OF MARYLAND COLLEGE PARK | 2002 | female | 2 | 1 | 2005 | 4 | 14 | 2013 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 1 | 2 | 1 | 5 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
47 | Lloyd, James Patrick | UNIVERSITY OF CALIFORNIA, BERKELEY | 2002 | male | 2 | 4 | 2013 | 11 | 47 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 1 | 8 | 0 | 1 | 4 | 3 | 5 | 4 | 3 | 5 | 4 | 7 | 5 | 2 | 2 | 2 |
48 | Mao, Peter Hsih-Jen | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2002 | male | 1 | 0 | 2002 | 2 | 3 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 |
49 | Zager, Eric Louis | UNIVERSITY OF WASHINGTON | 2002 | male | 4 | 0 | 2002 | 6 | 0 | 2002 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
50 | Kulesa, Craig Alan | THE UNIVERSITY OF ARIZONA | 2002 | male | 1 | 1 | 2005 | 1 | 69 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 4 | 5 | 6 | 2 | 6 | 8 | 10 | 3 | 7 | 7 | 5 | 5 | 0 |
51 | Hornschemeier, Ann Elizabeth | THE PENNSYLVANIA STATE UNIVERSITY | 2002 | female | 4 | 5 | 2006 | 20 | 87 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 3 | 7 | 10 | 9 | 8 | 5 | 3 | 5 | 5 | 6 | 7 | 4 | 4 | 11 | 6 | 2 | 8 |
52 | Bloom, Joshua Simon | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2002 | male | 14 | 13 | 2012 | 48 | 227 | 2017 | 3 | 3 | 3 | 0 | 2 | 3 | 5 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 |  6 | 11 | 9 | 5 | 7 | 10 | 13 | 8 | 6 | 15 | 14 | 13 | 19 | 22 | 32 | 30 | 21 | 19 | 8 | 5 |
53 | Meyer, Reed David | Yale University | 2002 | male | 1 | 3 | 2011 | 5 | 12 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 3 | 1 | 1 | 0 | 2 | 2 | 2 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 |
54 | Hicks, Chris Wayne | NORTH CAROLINA STATE UNIVERSITY | 2002 | male | 1 | 0 | 2002 | 2 | 0 | 2002 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
55 | Kasper, Justin Christophe | MASSACHUSETTS INSTITUTE OF TECHNOLOGY | 2002 | male | 2 | 6 | 2016 | 4 | 115 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 2 | 2 | 8 | 11 | 3 | 7 | 6 | 7 | 10 | 20 | 8 | 15 | 15 |
56 | Archbold, Gregory Clark | THE UNIVERSITY OF UTAH | 2002 | male | 1 | 1 | 2003 | 3 | 24 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 1 | 5 | 4 | 4 | 3 | 3 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 |
57 | Benbow, Wystan R. | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 2002 | male | 2 | 7 | 2011 | 6 | 202 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 2 | 1 | 4 | 6 | 24 | 14 | 11 | 28 | 20 | 13 | 18 | 11 | 10 | 13 | 12 | 11 |
58 | Cole, Arthur Lindsey | THE OHIO STATE UNIVERSITY | 2002 | male | 1 | 4 | 2012 | 5 | 48 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 0 | 3 | 1 | 3 | 2 | 4 | 0 | 1 | 2 | 5 | 6 | 10 | 4 | 2 | 6 | 2 |
59 | Jha, Saurabh | HARVARD UNIVERSITY | 2002 | male | 6 | 3 | 2007 | 26 | 129 | 2017 | 1 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  4 | 3 | 3 | 7 | 4 | 5 | 13 | 6 | 7 | 8 | 8 | 12 | 7 | 10 | 11 | 14 | 6 | 11 | 5 | 9 |
60 | Li, Di | CORNELL UNIVERSITY | 2002 | male | 2 | 31 | 2017 | 5 | 112 | 2017 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 2 | 3 | 1 | 8 | 6 |  0 | 0 | 1 | 0 | 1 | 3 | 3 | 4 | 1 | 1 | 2 | 7 | 2 | 8 | 5 | 6 | 5 | 11 | 17 | 23 |
61 | Spaun, Nicole Angelique | BROWN UNIVERSITY | 2002 | female | 3 | 1 | 2003 | 7 | 1 | 2003 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 3 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
62 | Gupta, Sanjib Shankar | CLEMSON UNIVERSITY | 2002 | male | 5 | 9 | 2010 | 12 | 63 | 2016 | 0 | 1 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 3 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 3 | 3 | 1 | 3 | 2 | 1 | 0 | 6 | 4 | 5 | 7 | 8 | 4 | 1 | 2 | 11 | 7 | 5 |
63 | Montesi, Laurent Gilbert Joseph | MASSACHUSETTS INSTITUTE OF TECHNOLOGY | 2002 | male | 1 | 0 | 2002 | 1 | 18 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 2 | 1 | 1 | 2 | 2 | 0 | 1 | 3 | 1 | 1 |
64 | Ferris, Justin Claus | THE UNIVERSITY OF ARIZONA | 2002 | male | 3 | 0 | 2002 | 6 | 10 | 2009 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 1 | 3 | 1 | 2 | 2 | 0 | 1 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
65 | Ahmad, Qazi Rushdy | BROWN UNIVERSITY | 2002 | male | 4 | 0 | 2002 | 5 | 1 | 2007 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
66 | Terzić, Balša | THE FLORIDA STATE UNIVERSITY | 2002 | male | 2 | 4 | 2007 | 3 | 8 | 2007 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
67 | Mallouris, Christoforos | THE UNIVERSITY OF CHICAGO | 2002 | male | 2 | 1 | 2003 | 5 | 1 | 2003 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
68 | Ipe, Alex Ike | CARLETON UNIVERSITY (CANADA) | 2002 | male | 1 | 0 | 2002 | 1 | 2 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
69 | Crotty, Patrick R. | THE UNIVERSITY OF CHICAGO | 2002 | male | 2 | 3 | 2004 | 4 | 4 | 2004 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
70 | Kruschwitz, Craig Albert | CORNELL UNIVERSITY | 2002 | male | 2 | 0 | 2002 | 7 | 1 | 2003 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 3 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
71 | Ozel, Feryal | HARVARD UNIVERSITY | 2002 | female | 1 | 0 | 2002 | 8 | 83 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 3 | 3 | 3 | 1 | 1 | 2 | 4 | 2 | 8 | 7 | 5 | 13 | 9 | 4 | 9 | 14 |
72 | Uglesich, Robert R. | COLUMBIA UNIVERSITY | 2002 | male | 1 | 1 | 2004 | 3 | 3 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
73 | Birch, Aaron C. | STANFORD UNIVERSITY | 2002 | male | 5 | 10 | 2016 | 7 | 72 | 2017 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 2 | 0 | 0 | 2 | 0 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 1 |  0 | 1 | 0 | 1 | 2 | 3 | 0 | 4 | 2 | 6 | 5 | 5 | 4 | 5 | 3 | 7 | 6 | 8 | 5 | 9 |
74 | Tyler, Craig Edward | THE UNIVERSITY OF CHICAGO | 2002 | male | 3 | 0 | 2002 | 4 | 1 | 2003 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
75 | Coldwell, Charles Michael | HARVARD UNIVERSITY | 2002 | male | 1 | 0 | 2002 | 1 | 3 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
76 | Alvi, Kashif | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2002 | male | 4 | 1 | 2003 | 4 | 1 | 2003 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
77 | Telfer, Randal Crawford | THE JOHNS HOPKINS UNIVERSITY | 2002 | male | 5 | 0 | 2002 | 7 | 1 | 2007 | 0 | 1 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 2 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
78 | Wood, Benjamin Philip | THE UNIVERSITY OF WISCONSIN - MADISON | 2002 | male | 1 | 0 | 2002 | 9 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 2 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
79 | Rouse, Roger Bruce | ARIZONA STATE UNIVERSITY | 2002 | male | 1 | 0 | 2002 | 1 | 0 | 2002 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
80 | Sheldon, Erin S. | UNIVERSITY OF MICHIGAN | 2002 | female | 3 | 6 | 2017 | 7 | 91 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 3 | 1 | 3 | 3 | 3 | 2 | 3 | 5 | 7 | 9 | 2 | 8 | 8 | 6 | 6 | 5 | 18 |
81 | Bos, Brent Jon | THE UNIVERSITY OF ARIZONA | 2002 | male | 2 | 0 | 2002 | 4 | 4 | 2011 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
82 | Brain, David Andrew | UNIVERSITY OF COLORADO AT BOULDER | 2002 | male | 3 | 13 | 2016 | 7 | 127 | 2017 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 3 | 1 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 1 | 1 |  0 | 1 | 1 | 2 | 1 | 2 | 1 | 4 | 5 | 12 | 5 | 10 | 5 | 14 | 12 | 6 | 6 | 3 | 22 | 13 |
83 | Gretarsson, Andri Marcus | SYRACUSE UNIVERSITY | 2002 | male | 3 | 1 | 2007 | 8 | 120 | 2015 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 5 | 2 | 8 | 8 | 4 | 9 | 16 | 15 | 9 | 8 | 16 | 6 | 13 | 6 | 0 |
84 | Wong, Ah-San | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2002 | male | 3 | 5 | 2005 | 6 | 17 | 2012 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 4 | 3 | 4 | 4 | 3 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
85 | Zellner, N. E. B. | Rensselaer Polytechnic Institute, Troy, NY | 2002 | None | 2 | 6 | 2015 | 8 | 8 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  3 | 2 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 1 | 3 | 0 | 0 | 0 | 0 | 1 | 1 | 0 |
86 | Mulligan, Tamitha Lynne | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 2002 | female | 7 | 5 | 2013 | 11 | 18 | 2013 | 0 | 1 | 1 | 1 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 1 | 1 | 1 | 4 | 3 | 0 | 0 | 3 | 0 | 0 | 4 | 2 | 2 | 1 | 3 | 3 | 0 | 0 | 0 |
87 | Halverson, Nils William | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2002 | male | 2 | 1 | 2009 | 9 | 84 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 0 | 6 | 3 | 0 | 1 | 1 | 0 | 2 | 4 | 8 | 9 | 12 | 12 | 11 | 14 | 6 |
88 | Papovich, Casey John | THE JOHNS HOPKINS UNIVERSITY | 2002 | male | 4 | 17 | 2016 | 7 | 194 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 1 | 3 | 1 | 1 | 1 | 1 | 2 | 1 | 0 | 0 | 1 | 2 |  0 | 0 | 0 | 2 | 2 | 3 | 3 | 22 | 10 | 18 | 21 | 6 | 14 | 7 | 18 | 15 | 10 | 10 | 17 | 15 |
89 | Adelberger, Kurt Ludvig | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2002 | male | 4 | 10 | 2006 | 27 | 35 | 2008 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 2 | 6 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 6 | 2 | 7 | 5 | 5 | 6 | 7 | 12 | 6 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
90 | Muno, Michael Patrick | MASSACHUSETTS INSTITUTE OF TECHNOLOGY | 2002 | male | 9 | 21 | 2009 | 18 | 45 | 2014 | 0 | 0 | 1 | 1 | 3 | 4 | 4 | 3 | 4 | 5 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 7 | 7 | 6 | 4 | 7 | 8 | 5 | 8 | 4 | 2 | 0 | 0 | 0 | 1 | 0 | 0 |
91 | Kitts, Bunnie Kathleen | WASHINGTON UNIVERSITY | 2002 | female | 1 | 1 | 2003 | 1 | 1 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
